player_name,num_pass_recipients
Paul Robinson,20
Wes Brown,20
Mark Kinsella,20
Johnnie Jackson,20
Brad Friedel,19
Jerrel Hasselbaink,19
Anthony Le Tallec,19
Paul Butler,18
Jussi Jääskeläinen,18
Per Frandsen,18
Eric Daniel Djemba-Djemba,18
Stephen Crainey,18
Steffen Freund,18
Lee Carsley,17
Tony Hibbert,17
Robert Huth,17
Chris Riggott,16
Dejan Stefanovic,16
Barry Hayles,16
Fitz Hall,16
Collins John,16
Callum Davidson,16
Zoumana Camara,16
Mark Fish,16
Alexei Gennadyevich Smertin,15
Darius Vassell,15
Antti Mikko Niemi,15
Francis Jeffers,15
Paul Jones,15
Maik Taylor,14
Danny Tiatto,14
Ole Gunnar Solskjær,14
Eyal Berkovic,14
Craig Hignett,14
Jody Craddock,14
Joseph Phillip Yobo,14
Michael Duberry,14
Jermain Defoe,13
Vladimir Smicer,13
Tim Howard,13
Boris Živković,13
David Sommeil,13
Steffen Iversen,13
Jonathan Woodgate,12
Thomas Løvendahl Sørensen,12
Aaron Lennon,12
Riccardo Scimeca,12
Ben Thatcher,12
Roy Carroll,12
Richard Dunne,11
Mark Pembridge,11
Ian Pearce,11
Jason Roberts,11
John Curtis,11
Arjan de Zeeuw,11
Matt Heath,10
Nigel Martyn,10
Jonathan Fortune,10
Mark Schwarzer,10
Robbie Fowler,10
Jamal Julian Campbell-Ryce,10
Milan Baroš,10
Keith Gillespie,10
Patrik Berger,9
Steven Caldwell,9
Carlo Cudicini,9
David Seaman,9
"Bruno N""Gotty",9
Anders Svensson,9
Stephen Carr,9
Ian Bennett,9
Mbulelo Mabizela,8
Andy Melville,8
Andrew Davies,8
Ivica Mornar,8
Kasey Keller,8
Shaun Newton,8
Bobby Zamora,8
Neill McCann,7
David James,7
Zat Knight,7
Neil Sullivan,7
Simon Johnson,7
Dean Kiely,7
Shaka Hislop,7
Steve Howey,7
Nikos Dabizas,6
Richard Wright,6
Nick Barmby,6
Steve McManaman,6
Diego Forlán Corazo,6
Bryan Hughes,6
Michael Oakes,6
John Welsh,6
Dino Baggio,5
Hugo Miguel Ferreira Gomes Viana,5
Chris Perry,4
Rohan Ricketts,4
Danny Murphy,4
Peter Crouch,4
Dean Richards,4
Dean Sturridge,4
Ibrahim Ba,4
Trevor Benjamin,3
Kevin Campbell,3
Paul Brooker,2
Shola Ameobi,2
Danny Coyne,2
Gustavo Augusto Poyet Domínguez,1
Liam Ridgewell,1
Ugo Ehiogu,1
