player_name,avg_xG
Manuel Agudo Durán,0.029049173900000003
Alejandro Moreno Lopera,0.027918842500000002
Jesús Navas González,0.0278656615
Nabil Fekir,0.02668288
João Pedro Neves Filipe,0.025438597
Francis Joseph Coquelin,0.025156217
Rubén Alcaraz Jiménez,0.023476368
Javier Ontiveros Parra,0.022933368
Jesús Joaquín Fernández Sáez de la Torre,0.0206557
Joan Jordán Moreno,0.020233663
Manuel Trigueros Muñoz,0.020191351
Francisco Javier Hidalgo Gómez,0.01992774
Facundo Sebastián Roncaglia,0.0195687285
Carlos Henrique Casimiro,0.018411724
Mikel Oyarzabal Ugarte,0.017940493
Florian Grégoire Claude Lejeune,0.017764185
Christian Gabriel Oliva Giménez,0.016389068
Mario Gaspar Pérez Martínez,0.01330412525
Luis Alberto Suárez Díaz,0.013079492333333331
Robert Kenedy Nunes do Nascimento,0.011698737
José Manuel Fontán Mondragón,0.011488415
Pablo Hervías Ruiz,0.0089436425
José Raúl Gutiérrez Parejo,0.007819599
Jon Moncayola Tollar,0.0034244903
