Match ID,Player Name,Card Time,Card Type,Card Reason,Period
16136,Sergio Busquets i Burgos,11:00,Yellow Card,Foul Committed,1
16136,Sergi Roberto Carnicer,59:49,Yellow Card,Foul Committed,2
16136,Carles Aleña Castillo,52:48,Yellow Card,Foul Committed,2
16136,Martin Braithwaite Christensen,07:09,Yellow Card,Foul Committed,1
16136,Kenneth Josiah Omeruo,29:16,Yellow Card,Foul Committed,1
16136,Rodrigo Tarín Higón,21:52,Yellow Card,Foul Committed,1
16149,Sergio Busquets i Burgos,42:54,Yellow Card,Foul Committed,1
16149,Clément Lenglet,30:09,Yellow Card,Foul Committed,1
16149,Arturo Erasmo Vidal Pardo,36:38,Yellow Card,Foul Committed,1
16149,Cristhian Ricardo Stuani Curbelo,88:33,Yellow Card,Bad Behaviour,2
16149,Juan Pedro Ramírez López,67:54,Yellow Card,Foul Committed,2
16149,Bernardo José Espinosa Zúñiga,28:34,Yellow Card,Foul Committed,1
16149,Bernardo José Espinosa Zúñiga,50:28,Second Yellow,Foul Committed,2
16149,Yassine Bounou,51:07,Yellow Card,Bad Behaviour,2
16157,Jordi Alba Ramos,90:23,Yellow Card,Bad Behaviour,2
16157,Ivan Rakitić,46:01,Yellow Card,Foul Committed,1
16157,Sergi Roberto Carnicer,30:21,Yellow Card,Foul Committed,1
16173,Óscar de Marcos Arana,67:55,Yellow Card,Foul Committed,2
16173,Óscar de Marcos Arana,90:33,Second Yellow,Foul Committed,2
16173,Daniel García Carrillo,51:39,Yellow Card,Foul Committed,2
16173,Yeray Álvarez López,90:41,Yellow Card,Bad Behaviour,2
16173,Sergio Busquets i Burgos,77:23,Yellow Card,Foul Committed,2
16173,Clément Lenglet,71:17,Yellow Card,Foul Committed,2
16182,Lionel Andrés Messi Cuccittini,66:19,Yellow Card,Bad Behaviour,2
16182,Enes Ünal,10:14,Yellow Card,Foul Committed,1
16182,Miguel Alfonso Herrero Javaloyas,69:02,Yellow Card,Foul Committed,2
16182,Anuar Mohamed Tuhami,32:58,Yellow Card,Foul Committed,1
16190,Gerard Piqué Bernabéu,36:43,Yellow Card,Foul Committed,1
16190,Roque Mesa Quevedo,89:38,Yellow Card,Bad Behaviour,2
16190,Simon Thorup Kjær,79:34,Yellow Card,Foul Committed,2
16190,Franco Damián Vázquez,69:15,Yellow Card,Foul Committed,2
16190,Pablo Sarabia García,82:11,Yellow Card,Foul Committed,2
16190,Marko Rog,48:08,Yellow Card,Foul Committed,2
16190,Maximilian Wöber,56:59,Yellow Card,Bad Behaviour,2
16196,Sergio Busquets i Burgos,01:24,Yellow Card,Foul Committed,1
16196,Clément Lenglet,62:01,Yellow Card,Foul Committed,2
16196,Sergio Ramos García,60:08,Yellow Card,Foul Committed,2
16196,Marco Asensio Willemsen,81:14,Yellow Card,Foul Committed,2
16196,Daniel Carvajal Ramos,88:03,Yellow Card,Bad Behaviour,2
16205,Sergio Busquets i Burgos,78:52,Yellow Card,Foul Committed,2
16205,Gilbert Gianelli Imbula Wanga,88:39,Yellow Card,Bad Behaviour,2
16205,Emiliano Daniel Velázquez Maldonado,67:15,Yellow Card,Foul Committed,2
16215,Nélson Cabral Semedo,65:58,Yellow Card,Foul Committed,2
16215,Clément Lenglet,51:20,Yellow Card,Foul Committed,2
16215,José Andrés Guardado Hernández,16:00,Yellow Card,Bad Behaviour,1
16231,Roberto José Rosales Altuve,92:32,Yellow Card,Foul Committed,2
16231,Víctor Sánchez Mata,68:14,Yellow Card,Foul Committed,2
16231,Esteban Félix Granero Molina,72:28,Yellow Card,Bad Behaviour,2
16231,Adrià Giner Pedrosa,86:18,Yellow Card,Foul Committed,2
16240,Sergio Busquets i Burgos,38:09,Yellow Card,Foul Committed,1
16240,Luis Alberto Suárez Díaz,90:46,Yellow Card,Bad Behaviour,2
16240,Lionel Andrés Messi Cuccittini,83:20,Yellow Card,Bad Behaviour,2
16240,Sergi Roberto Carnicer,84:13,Yellow Card,Foul Committed,2
16240,Clément Lenglet,41:51,Yellow Card,Foul Committed,1
16240,Arturo Erasmo Vidal Pardo,76:19,Yellow Card,Foul Committed,2
16240,Carles Aleña Castillo,82:21,Yellow Card,Foul Committed,2
16240,José Ramiro Funes Mori,46:14,Yellow Card,Foul Committed,1
16240,Álvaro González Soberón,35:17,Yellow Card,Foul Committed,1
16240,Álvaro González Soberón,85:22,Second Yellow,Foul Committed,2
16240,Santiago Cáseres,90:47,Yellow Card,Foul Committed,2
16248,Gerard Piqué Bernabéu,73:27,Yellow Card,Bad Behaviour,2
16248,Luis Alberto Suárez Díaz,40:37,Yellow Card,Bad Behaviour,1
16248,Clément Lenglet,77:13,Yellow Card,Foul Committed,2
16248,Diego da Silva Costa,27:33,Red Card,Bad Behaviour,1
16248,Diego Roberto Godín Leal,29:38,Yellow Card,Bad Behaviour,1
16248,José María Giménez de Vargas,27:54,Yellow Card,Bad Behaviour,1
16248,Saúl Ñíguez Esclapez,70:30,Yellow Card,Foul Committed,2
16248,Thomas Teye Partey,26:08,Yellow Card,Foul Committed,1
16265,Mikel Merino Zazón,14:03,Yellow Card,Foul Committed,1
16275,Philippe Coutinho Correia,75:11,Yellow Card,Foul Committed,2
16275,Jonathan Rodríguez Menéndez,32:13,Yellow Card,Bad Behaviour,1
16275,Tomás Pina Isla,93:08,Yellow Card,Foul Committed,2
16275,Joaquín Navarro Jiménez,55:08,Yellow Card,Foul Committed,2
16289,Sergio Busquets i Burgos,90:31,Yellow Card,Foul Committed,2
16289,Gerard Piqué Bernabéu,69:21,Yellow Card,Foul Committed,2
16289,Ivan Rakitić,13:15,Yellow Card,Foul Committed,1
16289,Nélson Cabral Semedo,76:06,Yellow Card,Foul Committed,2
16289,Rúben Miguel Nunes Vezo,57:20,Yellow Card,Foul Committed,2
16289,Jorge Andújar Moreno,82:28,Yellow Card,Foul Committed,2
16289,Rubén Rochina Naixes,55:37,Yellow Card,Foul Committed,2
16306,Arturo Erasmo Vidal Pardo,75:30,Yellow Card,Foul Committed,2
16306,Dimitri Foulquier,36:46,Yellow Card,Foul Committed,1
16306,Djené Dakonam Ortega,92:45,Yellow Card,Foul Committed,2
16306,Mathías Olivera Miramontes,50:46,Yellow Card,Foul Committed,2
16317,Jordi Alba Ramos,82:02,Yellow Card,Bad Behaviour,2
16317,Nélson Cabral Semedo,41:47,Yellow Card,Foul Committed,1
16317,José Ángel Valdés Díaz,78:58,Yellow Card,Foul Committed,2
16317,Gonzalo Escalante,81:48,Yellow Card,Foul Committed,2
16317,Iván Ramis Barrios,32:30,Yellow Card,Bad Behaviour,1
16317,Pablo Ezequiel De Blasis,43:03,Yellow Card,Foul Committed,1
303377,Robert Kenedy Nunes do Nascimento,87:50,Yellow Card,Foul Committed,2
303377,Jaime Mata Arnaiz,72:02,Yellow Card,Foul Committed,2
303377,Samuel Yves Umtiti,48:28,Yellow Card,Foul Committed,2
303377,Héctor Junior Firpo Adames,81:24,Yellow Card,Foul Committed,2
303377,Anssumane Fati,84:17,Yellow Card,Bad Behaviour,2
303400,Francis Joseph Coquelin,53:46,Yellow Card,Foul Committed,2
303400,Sergio Busquets i Burgos,51:14,Yellow Card,Foul Committed,2
303400,Gerard Piqué Bernabéu,09:27,Yellow Card,Foul Committed,1
303400,Samuel Yves Umtiti,42:16,Yellow Card,Foul Committed,1
303430,André-Frank Zambo Anguissa,70:56,Yellow Card,Foul Committed,2
303430,Raúl Albiol i Tortajada,80:46,Yellow Card,Foul Committed,2
303430,Sergio Busquets i Burgos,89:36,Yellow Card,Foul Committed,2
303430,Antoine Griezmann,46:33,Yellow Card,Foul Committed,2
303430,Sergi Roberto Carnicer,24:51,Yellow Card,Foul Committed,1
303430,Héctor Junior Firpo Adames,81:25,Yellow Card,Bad Behaviour,2
303451,Gerard Piqué Bernabéu,66:24,Yellow Card,Foul Committed,2
303451,Sergi Roberto Carnicer,07:41,Yellow Card,Foul Committed,1
303451,Arturo Erasmo Vidal Pardo,73:29,Yellow Card,Foul Committed,2
303470,Daniel Carvajal Ramos,18:04,Yellow Card,Bad Behaviour,1
303470,Vinícius José Paixão de Oliveira Júnior,09:58,Yellow Card,Foul Committed,1
303470,Jordi Alba Ramos,18:05,Yellow Card,Bad Behaviour,1
303470,Lionel Andrés Messi Cuccittini,84:48,Yellow Card,Foul Committed,2
303473,Éver Maximiliano David Banega,90:24,Yellow Card,Foul Committed,2
303473,Daniel Filipe Martins Carriço,33:08,Yellow Card,Foul Committed,1
303473,Sergio Reguilón Rodríguez,21:22,Yellow Card,Foul Committed,1
303473,Sergio Busquets i Burgos,88:04,Yellow Card,Bad Behaviour,2
303473,Gerard Piqué Bernabéu,83:51,Yellow Card,Bad Behaviour,2
303473,Luis Alberto Suárez Díaz,63:30,Yellow Card,Bad Behaviour,2
303473,Ousmane Dembélé,53:25,Yellow Card,Bad Behaviour,2
303473,Ousmane Dembélé,86:57,Red Card,Bad Behaviour,2
303473,Nélson Cabral Semedo,38:03,Yellow Card,Foul Committed,1
303473,Ronald Federico Araújo da Silva,86:27,Red Card,Foul Committed,2
303479,Mikel Merino Zazón,55:51,Yellow Card,Foul Committed,2
303479,Mikel Oyarzabal Ugarte,79:54,Yellow Card,Bad Behaviour,2
303479,Ander Guevara Lajo,75:51,Yellow Card,Foul Committed,2
303479,Sergio Busquets i Burgos,87:15,Yellow Card,Foul Committed,2
303479,Gerard Piqué Bernabéu,60:30,Yellow Card,Foul Committed,2
303479,Lionel Andrés Messi Cuccittini,41:17,Yellow Card,Foul Committed,1
303479,Clément Lenglet,15:03,Yellow Card,Foul Committed,1
303487,Francisco José Beltrán Peinado,44:42,Yellow Card,Foul Committed,1
303487,Sergio Busquets i Burgos,86:59,Yellow Card,Foul Committed,2
303487,Samuel Yves Umtiti,23:56,Yellow Card,Foul Committed,1
303487,Lionel Andrés Messi Cuccittini,39:51,Yellow Card,Foul Committed,1
303487,Sergi Roberto Carnicer,51:00,Yellow Card,Foul Committed,2
303493,Sergio Busquets i Burgos,31:21,Yellow Card,Foul Committed,1
303493,Ivan Rakitić,90:40,Yellow Card,Foul Committed,2
303493,Unai Núñez Gestoso,60:59,Yellow Card,Foul Committed,2
303504,Gerard Piqué Bernabéu,64:44,Yellow Card,Foul Committed,2
303504,Antoine Griezmann,55:12,Yellow Card,Foul Committed,2
303504,Sergi Roberto Carnicer,80:19,Yellow Card,Foul Committed,2
303504,Clément Lenglet,66:30,Yellow Card,Foul Committed,2
303504,Arthur Henrique Ramos de Oliveira Melo,11:31,Yellow Card,Foul Committed,1
303504,Anssumane Fati,84:49,Yellow Card,Foul Committed,2
303504,Enis Bardhi,51:09,Yellow Card,Foul Committed,2
303516,Martin Braithwaite Christensen,81:20,Yellow Card,Foul Committed,2
303516,Jordi Alba Ramos,11:47,Yellow Card,Foul Committed,1
303516,Gerard Piqué Bernabéu,95:19,Yellow Card,Bad Behaviour,2
303516,Samuel Yves Umtiti,52:21,Yellow Card,Foul Committed,2
303516,Iago Aspas Juncal,88:38,Yellow Card,Bad Behaviour,2
303516,Brais Méndez Portela,33:05,Yellow Card,Foul Committed,1
303516,Néstor Alejandro Araújo Razo,60:18,Yellow Card,Foul Committed,2
303517,Aleix Vidal Parreu,65:22,Yellow Card,Bad Behaviour,2
303517,Martín Aguirregabiria Padilla,71:37,Yellow Card,Foul Committed,2
303517,Mubarak Wakaso,66:46,Yellow Card,Bad Behaviour,2
303517,Rodrigo Ely,83:40,Yellow Card,Foul Committed,2
303517,Jordi Alba Ramos,87:07,Yellow Card,Foul Committed,2
303517,Samuel Yves Umtiti,66:47,Yellow Card,Bad Behaviour,2
303524,Ángel Martín Correa,20:32,Yellow Card,Foul Committed,1
303524,Thomas Teye Partey,07:09,Yellow Card,Foul Committed,1
303524,Víctor Machín Pérez,68:15,Yellow Card,Foul Committed,2
303524,Felipe Augusto de Almeida Monteiro,71:56,Yellow Card,Foul Committed,2
303524,Gerard Piqué Bernabéu,31:19,Yellow Card,Foul Committed,1
303524,Ivan Rakitić,50:53,Yellow Card,Foul Committed,2
303524,Clément Lenglet,64:13,Yellow Card,Foul Committed,2
303524,Héctor Junior Firpo Adames,17:33,Yellow Card,Foul Committed,1
303532,Chidozie Collins Awaziem,81:15,Yellow Card,Foul Committed,2
303532,Unai Bustinza Martínez,36:12,Yellow Card,Foul Committed,1
303532,Rubén Salvador Pérez Del Mármol,67:33,Yellow Card,Bad Behaviour,2
303532,Ivan Rakitić,91:56,Yellow Card,Foul Committed,2
303532,Samuel Yves Umtiti,82:27,Yellow Card,Foul Committed,2
303532,Clément Lenglet,83:41,Yellow Card,Foul Committed,2
303532,Héctor Junior Firpo Adames,88:38,Yellow Card,Foul Committed,2
303532,Ricard Puig Martí,83:19,Yellow Card,Foul Committed,2
303548,Daniel José Rodríguez Vázquez,85:18,Yellow Card,Foul Committed,2
303548,Jordi Alba Ramos,72:16,Yellow Card,Foul Committed,2
303548,Arturo Erasmo Vidal Pardo,40:59,Yellow Card,Foul Committed,1
303596,Francisco Román Alarcón Suárez,75:42,Yellow Card,Foul Committed,2
303596,Sergio Ramos García,77:32,Yellow Card,Foul Committed,2
303596,Carlos Henrique Casimiro,65:10,Yellow Card,Foul Committed,2
303596,Daniel Carvajal Ramos,90:54,Yellow Card,Foul Committed,2
303596,Gareth Frank Bale,69:07,Yellow Card,Foul Committed,2
303596,Luis Alberto Suárez Díaz,39:06,Yellow Card,Foul Committed,1
303596,Ivan Rakitić,20:41,Yellow Card,Foul Committed,1
303596,Clément Lenglet,44:16,Yellow Card,Foul Committed,1
303600,Miguel Alfonso Herrero Javaloyas,78:06,Yellow Card,Foul Committed,2
303600,Sergio Guardiola Navarro,66:58,Yellow Card,Foul Committed,2
303600,Joaquín Fernández Moreno,44:29,Yellow Card,Foul Committed,1
303610,Carlos Fernández Luna,71:01,Yellow Card,Bad Behaviour,2
303610,Darwin Daniel Machís Marcano,11:53,Yellow Card,Foul Committed,1
303610,Germán Sánchez Barahona,58:50,Yellow Card,Foul Committed,2
303610,Germán Sánchez Barahona,68:41,Second Yellow,Foul Committed,2
303615,David López Silva,93:02,Yellow Card,Bad Behaviour,2
