Event ID,Player Name,Team Name,Statsbomb Xg,End Location X,End Location Y,End Location Z,Follows Dribble,First Time,Open Goal,Deflected,Technique ID,Technique Name,Body Part ID,Body Part Name,Type ID,Type Name,Outcome ID,Outcome Name,Match ID,Season Name,Competition Name
b68057fe-ebee-4d08-aa13-b5ba259a9ae0,Adrián Marín Gómez,Deportivo Alavés,0.14080831,120.0,32.9,1.2,False,True,False,False,95,Volley,40,Right Foot,87,Open Play,98,Off T,15946,2018/2019,La Liga
e6ed74b7-0a3d-4dea-9460-8284204e259d,Philippe Coutinho Correia,Barcelona,0.33453467,115.9,34.6,0.4,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,100,Saved,15946,2018/2019,La Liga
2b88907c-eb80-4782-88fa-1837baa9cbb6,Philippe Coutinho Correia,Barcelona,0.10534308,120.0,42.9,0.5,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,97,Goal,15946,2018/2019,La Liga
dc22f071-40e1-470b-92f0-5772192ef884,Lionel Andrés Messi Cuccittini,Barcelona,0.09483012,115.7,40.9,0.3,False,False,False,False,93,Normal,38,Left Foot,87,Open Play,100,Saved,15946,2018/2019,La Liga
036c1a04-8d9b-40c0-8b35-780df67fab4d,Lionel Andrés Messi Cuccittini,Barcelona,0.42062446,120.0,36.9,0.2,False,False,False,False,93,Normal,38,Left Foot,87,Open Play,97,Goal,15946,2018/2019,La Liga
ea874833-9ec6-43fb-917e-b3f98316d6a7,Ousmane Dembélé,Barcelona,0.018746857,120.0,43.1,5.0,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,98,Off T,15956,2018/2019,La Liga
c5cd1d18-0c4a-4444-904c-4097330c22fb,Enes Ünal,Real Valladolid,0.01126114,119.2,37.7,2.1,False,True,False,False,93,Normal,38,Left Foot,87,Open Play,100,Saved,15956,2018/2019,La Liga
e1e340a3-925c-45a8-82d3-ff2681ada9f2,Rubén Alcaraz Jiménez,Real Valladolid,0.025371064,118.5,38.1,1.7,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,100,Saved,15956,2018/2019,La Liga
c96bda2b-0c87-457d-a98c-2250383c19c5,Ousmane Dembélé,Barcelona,0.024100218,120.0,49.9,1.4,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,98,Off T,15956,2018/2019,La Liga
1577955b-9373-4e83-be3b-e0acf1ed766d,Ousmane Dembélé,Barcelona,0.04912386,120.0,35.6,0.2,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,98,Off T,15956,2018/2019,La Liga
ab10f936-0bc5-4056-a421-f88ef14b33c7,Luis Alberto Suárez Díaz,Barcelona,0.15582989,114.8,33.3,0.7,False,True,False,False,93,Normal,40,Right Foot,87,Open Play,100,Saved,15956,2018/2019,La Liga
