Match ID,Event ID,Formation,Lineup
15946,9f6e2ecf-6685-45df-a62e-c2db3090f6c1,442,"{20055,6374,5213,5492,5211,5203,5470,6379,5477,5246,5503}"
15946,0300039d-150d-41e4-b29a-76602ef002e6,451,"{6629,6618,6615,6855,6612,6839,6617,6626,6632,6581,6613}"
15946,3ffa05fd-8046-46cb-97c9-5add5a15ac74,433,"{20055,6379,5213,5492,5211,5203,5470,3501,5503,5477,5246}"
15946,0363ba7c-4a9e-42cf-937a-85aa5adb07ce,442,"{6629,6618,6615,6855,6612,6626,6632,6617,6935,6566,6613}"
15946,f938c9cd-6f51-4b2a-be0e-bc145f468d5e,433,"{20055,6379,5213,5492,5211,5203,5470,11392,5503,3501,5246}"
15946,92035681-1490-40fc-acf6-cb593a7172d2,433,"{20055,6379,5213,5492,5211,5470,8206,11392,5503,3501,5246}"
15956,2bb933a9-8a0b-4cbf-8c8c-fa40816ed359,41212,"{11302,11297,11304,11293,11298,11294,11303,11300,11291,6760,11296}"
15956,e4327a98-e4c9-4134-9f0f-ea1ef5dd5c41,433,"{20055,6379,5213,5492,5211,5203,5470,3501,5503,5477,5246}"
15956,eb8206a3-824f-430e-ac35-0d4704f59da6,442,"{20055,6379,5213,5492,5211,5470,5203,5477,3501,5503,5246}"
15956,428373db-c403-4802-80c4-caaee82cb08c,442,"{11302,11297,11304,11293,11298,11303,11300,6742,11291,6760,11296}"
15973,11098fbd-4121-4503-9ae3-d432d6f647e4,433,"{20055,6379,5213,5492,5211,5203,5470,3501,5503,5477,5246}"
15973,fdef514a-805b-4969-b322-61421e4f84f7,442,"{9747,11676,11677,6788,6734,11674,11669,11673,11675,11672,11671}"
15973,5cce8c89-7d77-4e9f-ab79-1006a7cad68a,4411,"{9747,11676,11677,6788,6734,11674,11669,11673,12554,11675,11671}"
15973,ebf5f44f-af32-46d5-98ad-0d40702de55d,4411,"{9747,11677,6857,6788,6734,11674,11669,11676,12554,11675,11671}"
15973,fd9f9c20-12f6-43ed-b599-ee6825c9b681,442,"{20055,6379,5213,6826,5211,8206,5203,5477,3501,5503,5246}"
15978,c49b57c0-8b25-4183-acd7-b13a52464607,442,"{6694,6605,6679,5573,6704,6676,6671,6685,6669,6899,6695}"
15978,129dbbf1-1faf-48cd-a550-022a5154cb90,433,"{20055,6374,5213,5492,5211,5470,6379,6998,5503,5477,5246}"
15978,20d961fd-8860-4519-8553-44cede4500d9,433,"{20055,6379,5213,5492,5211,5470,6998,3501,5503,5477,5246}"
15978,ff9b194a-3725-46ba-873d-acc8dfcb288d,433,"{20055,6379,5213,5492,5211,5203,5470,3501,5503,5477,5246}"
15978,1f8fa18f-63d5-4db4-a1da-172680bbd07b,442,"{6694,6605,6679,5573,6704,6676,6671,6685,6899,6906,6695}"
15978,63171ef3-349f-47cd-b6ec-f50f8b92368d,433,"{20055,6379,5213,5492,5211,5203,5470,8206,5503,3501,5246}"
15986,02a7b444-6b4e-463d-8e1a-a11d27bc780d,433,"{20055,6374,5213,6826,5211,5203,8206,11392,5503,5477,5246}"
15986,e1315a5c-776e-4bdf-80fe-fe845c52ce87,352,"{6785,6579,6573,6572,6578,6560,6565,6570,6888,6582,6351}"
15986,237adc21-1e90-441d-9ea4-4e98722ba781,433,"{20055,6374,5213,5203,5211,6826,8206,11392,5503,5477,5246}"
15986,fe9e513f-4779-4ac5-8947-a255d2260de5,41212,"{20055,6374,5213,5492,5211,5203,8206,11392,6826,5503,5246}"
15986,63776c00-b073-4750-a6ff-18bd06ab0f97,352,"{6785,6579,6573,6572,6578,6560,6574,6565,6567,6582,6351}"
15998,30fc6c07-f0ea-48f6-b8c4-3b385b529073,32221,"{6610,17818,6598,6601,6738,11730,6667,6599,6608,16212,6301}"
15998,12be4231-3122-485c-81f6-f119c0973c7a,41221,"{20055,6379,5213,5492,6332,5203,5470,3501,5503,5477,6616}"
16010,a57472ff-3b0d-4bee-a6a0-7a5069302d22,433,"{20055,6374,5213,6826,5211,6379,8206,5470,5477,3501,5246}"
16010,5e52a608-d702-4960-9cd1-7cedd9405c77,442,"{11748,6649,6877,6665,6789,6775,6396,6390,3023,6391,6393}"
16010,56f08d61-8019-4066-9dc0-7c1c8ed66c01,4231,"{20055,6374,5213,6826,5211,5203,5470,5477,5503,3501,5246}"
16023,94e5fbbd-fa9e-4486-80ad-e76190b8855c,442,"{6590,11634,6891,6746,6596,6595,6589,6583,4367,3457,6401}"
16023,c0c42505-3aea-4de5-b24d-073d382cf91b,433,"{20055,6374,5213,6332,5211,5203,5470,11392,5503,3501,5246}"
16029,94823405-febc-413b-aaa2-e39a53d357d3,433,"{20055,6374,5213,6826,5211,5203,5470,11392,5503,3501,5246}"
16029,192afb5f-5a54-4b76-aace-6dca599a594f,352,"{11541,6825,5534,6804,6821,6919,5504,6720,6719,5218,6723}"
16029,48754564-0777-4f89-82ee-7488434b64e8,32122,"{11541,5742,6825,6804,6821,6919,5504,6720,6719,5218,6723}"
16029,28dead8d-fd03-4ed3-9318-b3c7d6e38e5f,32122,"{11541,5742,6825,6804,6821,6919,3610,6720,5504,6334,6723}"
16056,8553b2fc-af4b-46be-995f-5df83c3297db,433,"{20055,6379,5213,6826,5211,5203,5470,11392,5503,3109,5246}"
16056,9a7f43a7-658b-4cce-81b2-b870e5fa4361,3412,"{6792,6648,7068,6777,6658,17304,5563,5214,3313,7910,6651}"
16056,d988b77f-946c-4032-a942-24ef9735a214,343,"{6792,6648,7068,6777,6658,17304,5563,5214,6673,3313,7910}"
16056,0c029bc4-574a-4910-aefe-7bd96ecfaef7,433,"{20055,6379,5213,6826,5211,5470,13599,8206,5503,6616,5246}"
16056,d610c1f2-33b7-4459-969f-6c39179dd250,4231,"{20055,6379,5213,6826,5211,13599,8206,5503,5470,6616,5246}"
16073,5e3d09b4-4741-43af-b3ca-9b451c458b3a,442,"{6378,5696,6376,5484,6320,5199,6765,6381,3245,5487,5198}"
16073,f2c941ff-922b-4296-a1b9-a494f394229b,442,"{20055,6374,5213,5492,5211,6379,5203,11392,8206,5503,5246}"
16073,9967a021-3ac7-4243-8447-805dff410a0e,442,"{20055,6374,5213,5492,5211,8206,5203,11392,6998,5503,5246}"
16073,cf42b6a7-a944-4fe2-bb57-2f69aeb6f344,442,"{20055,6374,5213,5492,5211,5477,5203,8206,6998,5503,5246}"
16073,7310ecb6-ee68-4963-8bba-2fe3f1c0a01f,442,"{6378,5696,6376,5484,6320,6381,6765,5199,6841,5487,6377}"
16073,eac8502f-c98b-4b1e-a205-cddd0720931c,442,"{20055,6374,5213,5492,5211,5477,5203,6998,3109,5503,5246}"
16079,adbf520d-fe67-4b5b-b17b-f9434f7312c9,4141,"{20055,6374,5213,6826,5211,5203,5477,5470,8206,3501,5503}"
16079,f4c08899-ea60-4e22-b723-0a914ec63e4e,4141,"{6755,6772,6762,6752,6737,11385,16335,6771,11386,6764,6766}"
16079,038b3166-c80a-497b-8ffd-ca78e39675f5,4141,"{6755,6772,6762,6752,6737,11385,16335,11386,6764,5688,6766}"
16086,ccbb71bd-c04a-4ae1-9808-91279bc65c57,4231,"{6768,6791,6754,5598,6886,3236,6866,6838,6902,6758,11391}"
16086,235aa8bd-06db-417e-8e4a-14a5300131f4,41221,"{20055,6374,5213,6826,5211,5203,8206,5470,5503,5477,5246}"
16086,ef0f5553-498a-44ce-8dc8-5a6a7a2c7b1e,41221,"{20055,6374,5213,6826,5211,5203,6609,8206,5503,3501,6616}"
16095,4cd029d7-a318-41e7-b54b-0dce6ea9b5af,3412,"{6692,6809,6682,6807,6691,6784,6688,6782,6680,6678,6668}"
16095,9c662ea6-e7f9-49a9-8c97-974c809b7ed8,3511,"{20055,5213,6826,6332,5477,5211,5203,5470,8206,5503,5246}"
16095,4294e30a-3323-40ae-bf6b-d15fad190978,3511,"{20055,5470,5213,6826,5477,5211,5203,8206,11392,5503,5246}"
16095,5324d5a2-9934-4671-a00b-f8077415f3b1,442,"{6692,6672,6809,6807,6784,4407,6782,6691,6688,6668,21147}"
16095,cd3c4700-87ac-49ce-aa20-f3565ec2840c,3511,"{20055,5470,5213,6826,5477,5211,5203,11392,3501,5503,5246}"
16095,00523e87-4db9-4ff5-a538-c7e7dc68ca73,4411,"{6692,6668,6672,6807,6784,4407,6688,6691,6782,6809,21147}"
16109,b211493d-e1fa-419c-84e5-4ace7c26a511,433,"{20055,6374,5213,6826,5211,5203,8206,5470,5503,5477,5246}"
16109,34ce2e0e-d730-4995-b34d-7fb972defd13,442,"{6795,6805,11388,17804,6876,12555,6852,6799,3625,5217,6297}"
16109,52bc10ee-ad72-44b1-97e1-8be0b85a5f88,4231,"{6795,6805,11388,17804,6876,6852,6798,6799,11389,3625,6297}"
16109,05add0d6-010f-440f-9e52-29abbad13ad2,433,"{20055,6374,5213,6826,5211,5203,5470,11392,5503,5477,5246}"
16109,e9cc1d3a-2f99-4818-95c9-282b6d27a179,433,"{20055,6374,5213,6826,5211,5470,13599,11392,5503,3501,5246}"
