Match ID,Player Name,Position ID,Start From,End To,From Period,To Period,Start Reason,End Reason
15956,Laureano Antonio Villa Suárez,16,66:55,86:07,2,2,Tactical Shift,Substitution - Off (Tactical)
15956,Fernando Calero Villa,5,00:00,,1,,Starting XI,Final Whistle
15956,Borja Fernández Fernández,10,00:00,63:46,1,2,Starting XI,Substitution - Off (Tactical)
15956,Óscar Plano Pedreño,24,00:00,,1,,Starting XI,Final Whistle
15956,Javier Moyano Lujano,2,00:00,,1,,Starting XI,Final Whistle
15956,José Ignacio Martínez García,6,00:00,,1,,Starting XI,Final Whistle
15956,Rubén Alcaraz Jiménez,15,00:00,66:55,1,2,Starting XI,Tactical Shift
15956,Rubén Alcaraz Jiménez,11,66:55,,2,,Tactical Shift,Final Whistle
15956,Jordi Masip López,1,00:00,,1,,Starting XI,Final Whistle
15956,Anuar Mohamed Tuhami,13,00:00,66:55,1,2,Starting XI,Tactical Shift
15956,Anuar Mohamed Tuhami,9,66:55,,2,,Tactical Shift,Final Whistle
15956,Francisco José Olivas Alba,3,00:00,,1,,Starting XI,Final Whistle
15973,Philippe Coutinho Correia,15,00:00,70:49,1,2,Starting XI,Tactical Shift
15973,Philippe Coutinho Correia,16,70:49,,2,,Tactical Shift,Final Whistle
15973,Sergio Busquets i Burgos,10,00:00,70:49,1,2,Starting XI,Tactical Shift
15973,Sergio Busquets i Burgos,11,70:49,75:19,2,2,Tactical Shift,Substitution - Off (Tactical)
15973,Jordi Alba Ramos,6,00:00,,1,,Starting XI,Final Whistle
15973,Gerard Piqué Bernabéu,3,00:00,,1,,Starting XI,Final Whistle
15973,Luis Alberto Suárez Díaz,23,00:00,70:49,1,2,Starting XI,Tactical Shift
15973,Luis Alberto Suárez Díaz,24,70:49,,2,,Tactical Shift,Final Whistle
15973,Ivan Rakitić,13,00:00,70:46,1,2,Starting XI,Substitution - Off (Tactical)
15973,Ousmane Dembélé,21,00:00,70:49,1,2,Starting XI,Tactical Shift
15973,Ousmane Dembélé,12,70:49,,2,,Tactical Shift,Final Whistle
15973,Samuel Yves Umtiti,5,00:00,64:16,1,2,Starting XI,Substitution - Off (Tactical)
15973,Lionel Andrés Messi Cuccittini,17,00:00,70:49,1,2,Starting XI,Tactical Shift
15973,Lionel Andrés Messi Cuccittini,22,70:49,,2,,Tactical Shift,Final Whistle
15973,Sergi Roberto Carnicer,2,00:00,,1,,Starting XI,Final Whistle
15973,Clément Lenglet,5,64:16,,2,,Substitution - On (Tactical),Final Whistle
15973,Arturo Erasmo Vidal Pardo,13,70:46,70:49,2,2,Substitution - On (Tactical),Tactical Shift
15973,Arturo Erasmo Vidal Pardo,9,70:49,,2,,Tactical Shift,Final Whistle
15973,Arthur Henrique Ramos de Oliveira Melo,11,75:19,,2,,Substitution - On (Tactical),Final Whistle
15973,Marc-André ter Stegen,1,00:00,,1,,Starting XI,Final Whistle
15973,Luis Carlos Correia Pinto,6,00:00,,1,,Starting XI,Final Whistle
15973,Xabier Etxeita Gorritxategi,5,00:00,,1,,Starting XI,Final Whistle
15973,Rúben Afonso Borges Semedo,12,64:27,64:42,2,2,Substitution - On (Tactical),Tactical Shift
15973,Rúben Afonso Borges Semedo,3,64:42,,2,,Tactical Shift,Final Whistle
15973,Axel Werner,1,00:00,,1,,Starting XI,Final Whistle
15973,Gonzalo Julián Melero Manzanares,11,00:00,,1,,Starting XI,Final Whistle
15973,Juan Camilo Hernández Suárez,24,00:00,57:06,1,2,Starting XI,Tactical Shift
15973,Juan Camilo Hernández Suárez,23,57:06,70:58,2,2,Tactical Shift,Substitution - Off (Tactical)
15973,Samuele Longo,22,00:00,57:05,1,2,Starting XI,Substitution - Off (Tactical)
15973,Alejandro Gallar Falguera,12,00:00,64:27,1,2,Starting XI,Substitution - Off (Tactical)
15973,Damián Marcelo Musto,9,00:00,,1,,Starting XI,Final Whistle
15973,Moisés Gómez Bordonado,16,00:00,57:06,1,2,Starting XI,Tactical Shift
15973,Moisés Gómez Bordonado,19,57:06,,2,,Tactical Shift,Final Whistle
15973,Jorge Miramón Santagertrudis,2,00:00,64:42,1,2,Starting XI,Tactical Shift
15973,Jorge Miramón Santagertrudis,12,64:42,,2,,Tactical Shift,Final Whistle
15973,Jorge Pulido Mayoral,3,00:00,64:42,1,2,Starting XI,Tactical Shift
15973,Jorge Pulido Mayoral,2,64:42,,2,,Tactical Shift,Final Whistle
15973,Luis Ezequiel Ávila,23,70:58,,2,,Substitution - On (Tactical),Final Whistle
15973,Serdar Gürler,22,57:05,57:06,2,2,Substitution - On (Tactical),Tactical Shift
15973,Serdar Gürler,16,57:06,,2,,Tactical Shift,Final Whistle
15978,Mikel Merino Zazón,11,81:36,,2,,Substitution - On (Tactical),Final Whistle
15978,Héctor Alfredo Moreno Herrera,5,00:00,,1,,Starting XI,Final Whistle
15978,Joseba Zaldúa Bengoetxea,2,00:00,,1,,Starting XI,Final Whistle
15978,David Zurutuza Veillet,16,00:00,72:26,1,2,Starting XI,Substitution - Off (Tactical)
15978,Asier Illarramendi Andonegi,11,00:00,81:36,1,2,Starting XI,Substitution - Off (Tactical)
15978,Igor Zubeldia Elorza,9,00:00,,1,,Starting XI,Final Whistle
15978,Aritz Elustondo Irribaria,3,00:00,,1,,Starting XI,Final Whistle
